Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time,Turn_Around_Time,Referrer,User_Agent,Version_Id,Date
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:59:49,10.222.91.5,3272ee65a908a7677109fedda345db8d9554ba26398b2ca10581de88777e2b61,A30177BBC1AEF4E2,REST.PUT.OBJECT,logs/2015-06-12-04-59-49-421DBC3A98AFEA6F,PUT /drat/logs/2015-06-12-04-59-49-421DBC3A98AFEA6F HTTP/1.1,200,,,1151,24,6,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:06:33,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,31B03A353BFAB66F,REST.GET.LOGGING_STATUS,,GET /drat?logging HTTP/1.1,200,,230,,14,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:06:33,10.220.7.37,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,3385A05136A431E1,REST.GET.CORS,,GET /drat?cors HTTP/1.1,404,NoSuchCORSConfiguration,295,,1,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:57:49,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,CBFF31FA8806AA33,REST.GET.BUCKET,,GET /?delimiter=%2F&prefix=logs%2F HTTP/1.1,200,,10122,,29,28,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:44,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,17B86D6659DE90AE,REST.GET.ACL,,GET /drat?acl HTTP/1.1,200,,937,,97,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:00:44,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,893ECAE151A43006,REST.GET.WEBSITE,,GET /drat?website HTTP/1.1,404,NoSuchWebsiteConfiguration,319,,19,,,S3Console/0.4,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:06:32,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,7860C2DA339CF777,REST.GET.REPLICATION,,GET /?replication HTTP/1.1,404,ReplicationConfigurationNotFoundError,315,,14,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 04:57:16,10.240.35.42,8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,A92C49A2C6D7505E,REST.GET.LOCATION,,GET /?location HTTP/1.1,200,,137,,13,,,aws-internal/3,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:17:04,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,1419A142512C5022,REST.HEAD.OBJECT,test,HEAD /test HTTP/1.1,403,AccessDenied,243,,27,,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
8aefdcbf18ef13fe9f82be73697a945f423e4299c995e9e96bb619975db40bd6,drat,2015-06-12 05:26:18,208.54.5.245,arn:aws:iam::755983557176:user/ropensci,78492AFD4B860F54,REST.HEAD.OBJECT,test,HEAD /test HTTP/1.1,200,,,0,20,,,aws-cli/1.7.0 Python/3.4.3 Linux/3.19.0-20-generic,,06-12-2015
